,total_trials,successful_trials,success_rate,mean_absolute_error,mean_execution_time
DFA,45.0,45.0,1.0,0.39175593849398416,0.11437720722622341
R/S,45.0,45.0,1.0,0.20492639957140196,0.05938674079047309
Higuchi,45.0,45.0,1.0,0.47489473768685525,0.007275735007392036
DMA,45.0,45.0,1.0,0.2958822745791749,0.07739688555399576
Periodogram,45.0,45.0,1.0,0.7548502748239693,0.0018848578135172527
Whittle,45.0,45.0,1.0,0.42624311885441046,0.00871087180243598
GPH,45.0,45.0,1.0,0.22648700971436467,0.0017771773868136935
Wavelet Log Variance,45.0,45.0,1.0,0.8801935326555865,0.0017222828335232204
Wavelet Variance,45.0,45.0,1.0,1.2973963137956213,0.0016221258375379774
Wavelet Whittle,45.0,45.0,1.0,0.413699574585174,0.0245433595445421
CWT,45.0,45.0,1.0,0.27054989131172485,0.006239440706041124
MFDFA,45.0,45.0,1.0,0.5893502382488537,0.6140876823001438
