Category,Estimator,Mean_Error,Std_Error,Mean_Time,Count,Composite_Score
Comprehensive,Whittle,0.09999999999999999,0.19999999999999998,0.00030982494354248047,4,0.36352373491571705
Comprehensive,Periodogram,0.1286903042346239,0.1620060975739653,0.000850677490234375,4,0.3540918325596569
Comprehensive,SVR,0.13644117566285005,0.22124456559549155,4.661083221435547e-05,4,0.3519595779366277
ML,SVR,0.13644117566285005,0.22124456559549155,4.845857620239258e-05,4,0.35195892763694614
Comprehensive,DMA,0.18292574764075528,0.18682287467350842,0.000853419303894043,4,0.3378563059912399
Comprehensive,Higuchi,0.1818645694485535,0.20775141265470767,0.002310037612915039,4,0.337668227698133
Comprehensive,Transformer,0.1827199429273605,0.03641289455388166,0.0020270347595214844,4,0.33751931613778985
Neural,Transformer,0.1827199429273605,0.03641289455388166,0.0021445751190185547,4,0.3374797288938522
Neural,CNN,0.19496927857398982,0.008022000022400562,0.0004724860191345215,4,0.3345785552951639
Comprehensive,CNN,0.19496927857398982,0.008022000022400562,0.0006152987480163574,4,0.33453080260082985
Comprehensive,R/S,0.17760306455612732,0.215692747637804,0.028115928173065186,4,0.3303839769223917
Comprehensive,GPH,0.23963240124285223,0.19369173270867993,0.0012145638465881348,4,0.32228486720026334
Neural,LSTM,0.17070614984291374,0.13483912951402344,0.15565741062164307,4,0.2956534716859241
Neural,GRU,0.1872200307241915,0.06348435420093815,0.14369022846221924,4,0.2945916041893441
Comprehensive,GRU,0.1872200307241915,0.06348435420093815,0.1528962254524231,4,0.29223925940615064
Comprehensive,LSTM,0.17070614984291374,0.13483912951402344,0.1717238426208496,4,0.2915995331848977
Comprehensive,WaveletLogVar,0.388001301522349,0.3424080514691335,0.0004419684410095215,4,0.2880568557716744
Comprehensive,CWT,0.32417134830861094,0.42239266540798304,0.0714835524559021,4,0.2819228621429524
Comprehensive,GradientBoosting,0.43068117206765233,0.1987017666786377,0.00021588802337646484,4,0.2795267535755131
ML,GradientBoosting,0.43068117206765233,0.1987017666786377,0.0002180337905883789,4,0.27952615390691843
Comprehensive,DFA,0.4467162034547856,0.21348875980242324,0.006541132926940918,4,0.27469143514606315
Comprehensive,WaveletLeaders,0.4397181935134965,0.2713993813261949,0.012687742710113525,4,0.2743512511505749
ML,RandomForest,0.5,0.2,0.00024080276489257812,4,0.2666024680552318
Comprehensive,RandomForest,0.5,0.2,0.0004836916923522949,4,0.26653774457391793
Classical,Whittle,0.13333333333333333,0.23094010767585027,0.0003616015116373698,3,0.26461019890502246
Comprehensive,MFDFA,0.36990744381330876,0.19442995231265092,0.10748565196990967,4,0.26365174940600655
Classical,Periodogram,0.16891210426886874,0.17222718800685646,0.0007713635762532552,3,0.25645107805395745
Classical,DMA,0.1877212005397647,0.22850864653415293,0.0009136199951171875,3,0.2523539733458749
Comprehensive,WaveletWhittle,0.5899941583562331,0.19999999999999998,0.007091104984283447,4,0.24980187996547554
Comprehensive,WaveletVar,0.604037078417691,0.4089415453555078,0.0009115934371948242,4,0.24914367635294543
Classical,Higuchi,0.20672762096421762,0.2470464454429906,0.0022583802541097007,3,0.24804604399564684
Classical,GPH,0.26692176709572474,0.22761035575655275,0.09758806228637695,3,0.21574069923882108
Classical,DFA,0.4018292082307278,0.23722799539999,0.006627003351847331,3,0.21259721630828715
Classical,WaveletLogVar,0.42803477876411383,0.4077362318533046,0.00043471654256184894,3,0.2099876320698989
Classical,WaveletLeaders,0.44079015117291576,0.3361115861629356,0.014603853225708008,3,0.20522204751276213
Classical,CWT,0.396269729624729,0.48624508856672716,0.07897718747456868,3,0.1991313643195993
Classical,MFDFA,0.3641608494217563,0.24472768323022295,0.1112368901570638,3,0.19790147127136198
Classical,WaveletWhittle,0.5566608250228998,0.23094010767585027,0.006967385609944661,3,0.19138674404874723
Classical,WaveletVar,0.6470366553769226,0.48964885332714614,0.0009396076202392578,3,0.18197432421772805
Classical,R/S,0.2095545893335453,0.25230862542074617,0.6084810892740885,3,0.1541983838064512
